"scorer","toe_x","toe_y","toe_p","center_x","center_y","center_p","heel_x","heel_y","heel_p","objecta_x","objecta_y","objecta_p","objectb_x","objectb_y","objectb_p"
"bodyparts","toe","toe","toe","center","center","center","heel","heel","heel","objecta","objecta","objecta","objectb","objectb","objectb"
"coords","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood"
"1","222.201049804688","501.839874267578","0.72103887796402","194.05192565918","499.871490478516","0.763731300830841","138.018417358398","496.012145996094","0.710355222225189","31.945198059082","258.072113037109","0.978634834289551","30.2375507354736","510.098358154297","0.848727703094482"
"2","222.21125793457","501.838500976562","0.730814397335052","194.09294128418","499.886596679688","0.763990998268127","138.011840820312","496.031707763672","0.715369462966919","31.9458045959473","258.068817138672","0.989081263542175","30.2358627319336","510.109985351562","0.841017603874207"
"3","222.2041015625","501.845092773438","0.729528307914734","194.071502685547","499.874328613281","0.767419040203094","138.026428222656","496.011108398438","0.71955531835556","31.9176254272461","258.063537597656","0.999485611915588","30.2216835021973","510.096221923828","0.844928920269012"
"4","222.19563293457","501.848754882812","0.726936876773834","194.064392089844","499.8662109375","0.770541906356812","138.033966064453","496.014923095703","0.729228258132935","31.9348087310791","258.070953369141","0.987567007541656","30.2282085418701","510.098419189453","0.849363803863525"
"5","222.189971923828","501.838439941406","0.71952497959137","194.075256347656","499.889953613281","0.758327126502991","138.029510498047","495.99072265625","0.734400629997253","31.9503936767578","258.087127685547","0.987419188022614","30.2490634918213","510.096862792969","0.842106640338898"
"6","222.19987487793","501.82958984375","0.724205017089844","194.065185546875","499.873870849609","0.769781470298767","138.022552490234","496.007019042969","0.725423872470856","31.9213390350342","258.052947998047","0.987058043479919","30.2312202453613","510.090087890625","0.846536874771118"
"7","222.164169311523","501.845703125","0.715303421020508","194.071243286133","499.858764648438","0.761835157871246","138.018188476562","496.032531738281","0.721434056758881","31.9385719299316","258.069030761719","0.97828483581543","30.2401714324951","510.089324951172","0.841409087181091"
"8","222.186508178711","501.829223632812","0.721429407596588","194.077453613281","499.864166259766","0.764410018920898","138.031646728516","495.987396240234","0.732273936271667","31.9219226837158","258.076477050781","0.986911356449127","30.2365570068359","510.102355957031","0.844339311122894"
"9","222.200988769531","501.845520019531","0.722524642944336","194.038925170898","499.868591308594","0.772657692432404","138.031707763672","496.000152587891","0.716398000717163","31.9430408477783","258.0673828125","0.982413411140442","30.2403335571289","510.099914550781","0.846296012401581"
"10","222.197448730469","501.827728271484","0.735125720500946","194.076583862305","499.882446289062","0.778605759143829","138.02262878418","496.003753662109","0.732018709182739","31.9397010803223","258.08642578125","0.993701219558716","30.2328281402588","510.090026855469","0.844533920288086"
"11","222.218719482422","501.815155029297","0.722526967525482","194.069259643555","499.856658935547","0.758160173892975","138.006225585938","496.027770996094","0.722424268722534","31.9205284118652","258.084106445312","0.991847574710846","30.2350387573242","510.088256835938","0.845323145389557"
"12","222.166458129883","501.834808349609","0.740091323852539","194.044876098633","499.875183105469","0.766088247299194","138.020431518555","496.018127441406","0.728836715221405","31.942756652832","258.059844970703","0.989730715751648","30.2390727996826","510.107086181641","0.841168165206909"
"13","222.186767578125","501.829528808594","0.732877850532532","194.068328857422","499.860229492188","0.771898448467255","138.037811279297","496.035858154297","0.724192202091217","31.927619934082","258.072479248047","0.980112671852112","30.2243766784668","510.104797363281","0.848098516464233"
"14","222.197830200195","501.824737548828","0.730176627635956","194.072189331055","499.883270263672","0.764208912849426","138.042922973633","496.018432617188","0.728185832500458","31.9289169311523","258.08544921875","0.974053621292114","30.2354698181152","510.103057861328","0.847362279891968"
"15","222.185134887695","501.822418212891","0.732102513313293","194.059265136719","499.875793457031","0.769283711910248","138.035888671875","496.008941650391","0.736501574516296","31.9441967010498","258.082366943359","0.989222526550293","30.2376880645752","510.093963623047","0.844908893108368"
"16","222.196655273438","501.850128173828","0.722541689872742","194.043167114258","499.902221679688","0.763709306716919","138.006423950195","496.003540039062","0.738808214664459","31.945348739624","258.062530517578","0.988272488117218","30.2385940551758","510.091674804688","0.844500482082367"
"17","222.193069458008","501.833892822266","0.722655594348907","194.082870483398","499.875885009766","0.764669060707092","138.036712646484","496.043762207031","0.722604751586914","31.9458541870117","258.078582763672","0.98549234867096","30.2319011688232","510.102478027344","0.84912782907486"
"18","222.184219360352","501.84423828125","0.730771720409393","194.043167114258","499.883514404297","0.778376460075378","138.020523071289","496.022216796875","0.723395347595215","31.9333114624023","258.083221435547","1.00821125507355","30.234432220459","510.099975585938","0.845404207706451"
"19","222.173355102539","501.84033203125","0.721555948257446","194.050384521484","499.868225097656","0.765408039093018","138.007843017578","496.030395507812","0.733425498008728","31.9413719177246","258.074066162109","0.988454937934875","30.2415828704834","510.091888427734","0.851466715335846"
"20","222.196014404297","501.814117431641","0.726877868175507","194.059143066406","499.874267578125","0.768759667873383","138.009536743164","496.004638671875","0.73168820142746","31.9517078399658","258.062652587891","0.983351528644562","30.2365703582764","510.098907470703","0.845564246177673"
"21","222.217239379883","501.828948974609","0.730038464069366","194.083892822266","499.896179199219","0.769769072532654","138.023254394531","496.032867431641","0.732643187046051","31.930456161499","258.084045410156","1.00548315048218","30.2222023010254","510.096405029297","0.845612227916718"
"22","222.171890258789","501.835174560547","0.721247971057892","194.048828125","499.872375488281","0.775456011295319","138.028289794922","496.024536132812","0.716808676719666","31.9336338043213","258.069946289062","1.00205373764038","30.2259559631348","510.101501464844","0.846701979637146"
"23","222.190093994141","501.838897705078","0.733957171440125","194.042053222656","499.886291503906","0.771675944328308","138.028503417969","496.025970458984","0.718851566314697","31.9131355285645","258.075012207031","1.00216329097748","30.232738494873","510.102386474609","0.848453521728516"
"24","222.189544677734","501.816772460938","0.734794616699219","194.053375244141","499.884857177734","0.774831593036652","138.0244140625","496.024353027344","0.720067620277405","31.9611320495605","258.044342041016","0.991140425205231","30.2279186248779","510.099395751953","0.847691535949707"
"25","222.217544555664","501.836761474609","0.732181489467621","194.042816162109","499.910125732422","0.771402716636658","138.033508300781","496.025634765625","0.729824602603912","31.928783416748","258.066284179688","0.98449295759201","30.2318439483643","510.108764648438","0.842810928821564"
"26","222.196029663086","501.825775146484","0.732150852680206","194.060546875","499.889556884766","0.766793370246887","138.031768798828","496.014617919922","0.722062110900879","31.9422836303711","258.073181152344","0.973308980464935","30.2242965698242","510.100799560547","0.851710736751556"
"27","222.157180786133","501.840789794922","0.719982326030731","194.057800292969","499.849456787109","0.762442708015442","138.020278930664","496.035614013672","0.7163405418396","31.9423999786377","258.065185546875","0.983469247817993","30.2183074951172","510.096069335938","0.840299606323242"
"28","222.187362670898","501.817230224609","0.733031630516052","194.070205688477","499.882598876953","0.769385993480682","137.998809814453","496.009063720703","0.727916121482849","31.9349899291992","258.064971923828","0.983388364315033","30.2139949798584","510.106384277344","0.843204438686371"
"29","222.199356079102","501.817901611328","0.730048596858978","194.075256347656","499.896850585938","0.768557727336884","138.026901245117","496.034942626953","0.724099218845367","31.9138240814209","258.080596923828","0.971135020256042","30.235445022583","510.099182128906","0.846373319625854"
"30","222.182861328125","501.829437255859","0.736066401004791","194.046264648438","499.886108398438","0.77033144235611","138.034713745117","496.022125244141","0.731174767017365","31.9276027679443","258.051239013672","0.986677885055542","30.236988067627","510.09521484375","0.850366532802582"
"31","222.194793701172","501.823669433594","0.735896110534668","194.056869506836","499.877227783203","0.767905294895172","138.019744873047","496.041473388672","0.723261713981628","31.9152355194092","258.079010009766","0.988218724727631","30.2352142333984","510.110595703125","0.84291285276413"
"32","222.184753417969","501.834442138672","0.731826305389404","194.066131591797","499.896789550781","0.771502077579498","138.01936340332","496.03662109375","0.71716183423996","31.9423675537109","258.068145751953","0.988056421279907","30.2334270477295","510.109497070312","0.845620393753052"
"33","222.196853637695","501.834075927734","0.737609267234802","194.047698974609","499.890960693359","0.767918109893799","138.026245117188","496.033935546875","0.726464569568634","31.9422149658203","258.062103271484","0.980751633644104","30.2339191436768","510.102508544922","0.848963141441345"
"34","222.201019287109","501.828063964844","0.731424272060394","194.056427001953","499.8681640625","0.769175291061401","137.99641418457","496.03564453125","0.722676336765289","31.9419784545898","258.067810058594","0.98924994468689","30.224006652832","510.105102539062","0.842121958732605"
"35","222.201599121094","501.828918457031","0.725929737091064","194.051116943359","499.878570556641","0.772400736808777","138.037506103516","496.041595458984","0.722303092479706","31.9651947021484","258.080963134766","0.994438350200653","30.2284545898438","510.110412597656","0.845844388008118"
"36","222.202880859375","501.837677001953","0.737655580043793","194.029724121094","499.876678466797","0.776429235935211","138.034255981445","496.027282714844","0.735155403614044","31.927038192749","258.076965332031","0.994437575340271","30.2250633239746","510.102264404297","0.845667898654938"
"37","222.182662963867","501.840454101562","0.73276275396347","194.072525024414","499.883850097656","0.772366642951965","138.025573730469","496.031372070312","0.715735673904419","31.9257545471191","258.088439941406","0.987607598304749","30.2236309051514","510.1064453125","0.846935987472534"
"38","222.17546081543","501.824768066406","0.730152070522308","194.064163208008","499.890472412109","0.764330148696899","138.026611328125","496.025177001953","0.72128701210022","31.9221076965332","258.091247558594","1.00088965892792","30.2294235229492","510.093658447266","0.84225606918335"
"39","222.202056884766","501.838897705078","0.731512486934662","194.071548461914","499.889526367188","0.759292006492615","138.023223876953","496.034362792969","0.726788222789764","31.9367408752441","258.091430664062","0.990142226219177","30.2240657806396","510.110473632812","0.84094250202179"
"40","222.207901000977","501.827789306641","0.73666512966156","194.091445922852","499.880950927734","0.766715884208679","138.03662109375","496.043182373047","0.717457711696625","31.9223003387451","258.063507080078","0.985923171043396","30.2238235473633","510.103607177734","0.851224720478058"
"41","222.204452514648","501.830474853516","0.72625595331192","194.064910888672","499.856994628906","0.771845936775208","138.031021118164","496.037353515625","0.722570419311523","31.9282360076904","258.081512451172","0.980577945709229","30.2173938751221","510.108673095703","0.850377202033997"
