"scorer","toe_x","toe_y","toe_p","center_x","center_y","center_p","heel_x","heel_y","heel_p","objecta_x","objecta_y","objecta_p","objectb_x","objectb_y","objectb_p"
"bodyparts","toe","toe","toe","center","center","center","heel","heel","heel","objecta","objecta","objecta","objectb","objectb","objectb"
"coords","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood"
"1","251.830032348633","513.734375","0.45736163854599","221.850646972656","511.979614257812","0.68231076002121","167.897384643555","504.286682128906","0.699532985687256","22.132719039917","260.175140380859","0.899073481559753","22.1832675933838","519.822998046875","0.925109624862671"
"2","251.858337402344","513.779907226562","0.495092988014221","221.895874023438","511.982696533203","0.705642819404602","166.15397644043","504.193542480469","0.69947350025177","22.1115188598633","260.1865234375","0.900158524513245","22.1572303771973","519.838562011719","0.938227891921997"
"3","251.844085693359","513.786926269531","0.513722658157349","221.8935546875","511.971405029297","0.726200759410858","167.970611572266","505.853485107422","0.687683761119843","22.1145877838135","260.192443847656","0.899985194206238","22.1709442138672","519.819213867188","0.937630236148834"
"4","251.879196166992","513.752380371094","0.480657339096069","221.863967895508","511.969665527344","0.709481477737427","167.973068237305","505.829986572266","0.693994700908661","22.1191711425781","260.181457519531","0.89982533454895","22.1795387268066","519.844970703125","0.928337693214417"
"5","251.881988525391","513.741516113281","0.481523036956787","221.878219604492","511.955932617188","0.712437629699707","167.967269897461","505.815795898438","0.692441642284393","22.1008491516113","260.201629638672","0.898692965507507","22.1752834320068","519.837768554688","0.934381663799286"
"6","251.850189208984","513.746704101562","0.499938189983368","221.89973449707","511.947570800781","0.713307678699493","168.004684448242","505.858306884766","0.678330063819885","22.1027183532715","260.197082519531","0.88200980424881","22.1646175384521","519.811706542969","0.927652299404144"
"7","251.829391479492","513.756958007812","0.487113535404205","221.884338378906","511.948638916016","0.706121444702148","167.878723144531","504.280029296875","0.695590317249298","22.109899520874","260.205383300781","0.899321675300598","22.1763172149658","519.836059570312","0.935464024543762"
"8","251.856399536133","513.744079589844","0.4809350669384","221.907089233398","511.946655273438","0.706881523132324","167.946350097656","505.815551757812","0.680882394313812","22.10817527771","260.182159423828","0.89383339881897","22.1695537567139","519.830200195312","0.932593166828156"
"9","251.85302734375","513.734619140625","0.471066027879715","221.899810791016","511.954681396484","0.711639821529388","167.977416992188","505.834991455078","0.698918759822845","22.1228332519531","260.187225341797","0.894327640533447","22.1595592498779","519.837768554688","0.9320969581604"
"10","251.841278076172","513.740234375","0.470845431089401","221.892166137695","511.951507568359","0.699441015720367","167.957321166992","505.814270019531","0.683408677577972","22.1115951538086","260.199890136719","0.905556797981262","22.1614112854004","519.84423828125","0.935348212718964"
"11","251.874099731445","513.762756347656","0.50238311290741","221.906860351562","511.939453125","0.734835863113403","167.96809387207","505.815826416016","0.700644314289093","22.111026763916","260.179138183594","0.901581943035126","22.1677265167236","519.817321777344","0.927357017993927"
"12","251.883239746094","513.73974609375","0.488683998584747","221.926620483398","511.941711425781","0.733245551586151","167.968109130859","505.833190917969","0.691246032714844","22.1105766296387","260.185546875","0.897785425186157","22.1832122802734","519.8369140625","0.935950219631195"
"13","251.852554321289","513.748657226562","0.481736391782761","221.909149169922","511.948760986328","0.709565222263336","167.966720581055","505.839660644531","0.690356731414795","22.1072750091553","260.182525634766","0.893347322940826","22.1722793579102","519.81494140625","0.92582905292511"
"14","251.876831054688","512.244201660156","0.471928596496582","221.893829345703","511.931365966797","0.708082318305969","167.975997924805","505.823394775391","0.692661225795746","22.1164112091064","260.170349121094","0.902932941913605","22.1908874511719","519.831604003906","0.934987843036652"
"15","251.88493347168","513.739929199219","0.481164067983627","221.909805297852","511.945678710938","0.707376956939697","167.89794921875","504.280334472656","0.700186491012573","22.117094039917","260.155914306641","0.899788737297058","22.1925983428955","519.81884765625","0.938010811805725"
"16","251.914932250977","513.737060546875","0.486456453800201","221.924728393555","511.944702148438","0.716137409210205","167.97932434082","505.820465087891","0.690767705440521","22.1098785400391","260.164001464844","0.901523292064667","22.183385848999","519.839721679688","0.930392563343048"
"17","251.852233886719","513.744812011719","0.501633167266846","221.884567260742","511.946990966797","0.721282601356506","167.960556030273","505.814056396484","0.705000042915344","22.1167163848877","260.221557617188","0.904976069927216","22.1793651580811","519.834045410156","0.926636695861816"
"18","251.829162597656","513.768615722656","0.492269575595856","221.903106689453","511.923797607422","0.717069506645203","167.983505249023","505.826477050781","0.694509327411652","22.1013145446777","260.168762207031","0.905186355113983","22.1678218841553","519.815795898438","0.930813550949097"
"19","251.842834472656","513.774169921875","0.485799223184586","221.922332763672","511.924774169922","0.70648318529129","167.900268554688","504.291198730469","0.675684034824371","22.1101932525635","260.186401367188","0.902516424655914","22.1839332580566","519.831237792969","0.933092057704926"
"20","251.878204345703","513.767822265625","0.4804527759552","221.94889831543","511.957733154297","0.711499571800232","167.993865966797","505.815063476562","0.682582557201385","22.1251468658447","260.175048828125","0.901150107383728","22.1714687347412","519.833679199219","0.938419103622437"
"21","251.917510986328","513.740051269531","0.491991490125656","221.936477661133","511.922302246094","0.728425681591034","168.015075683594","505.834533691406","0.690297663211823","22.1106967926025","260.192901611328","0.901544451713562","22.1836032867432","519.8369140625","0.93592095375061"
"22","251.901168823242","513.750061035156","0.483838319778442","221.967590332031","511.921539306641","0.738530397415161","168.001235961914","505.834686279297","0.688694417476654","22.1161041259766","260.182830810547","0.90023285150528","22.1703281402588","519.833557128906","0.935082197189331"
"23","251.936798095703","513.752624511719","0.533787131309509","221.946731567383","511.940368652344","0.757063806056976","167.98957824707","505.836975097656","0.697291910648346","22.1157207489014","260.175048828125","0.887515723705292","22.1790523529053","519.833618164062","0.933565318584442"
"24","251.904266357422","513.754211425781","0.494872152805328","221.961349487305","511.919921875","0.732553541660309","167.968505859375","505.828521728516","0.700442016124725","22.1060810089111","260.180480957031","0.895631372928619","22.1767845153809","519.838928222656","0.93562638759613"
"25","251.919250488281","513.728515625","0.494948714971542","221.968902587891","511.909088134766","0.730257749557495","167.931777954102","504.286865234375","0.70135360956192","22.1063995361328","260.179504394531","0.896901786327362","22.1866588592529","519.828491210938","0.93110579252243"
"26","251.902526855469","513.76416015625","0.510456919670105","221.98860168457","511.919982910156","0.745400846004486","167.987106323242","505.824890136719","0.684688746929169","22.124267578125","260.150787353516","0.897348761558533","22.1881694793701","519.821655273438","0.927859723567963"
"27","251.886367797852","513.759460449219","0.510432124137878","221.957473754883","511.907409667969","0.73861813545227","167.896362304688","504.25146484375","0.716542780399323","22.1192874908447","260.155212402344","0.895748913288116","22.1686229705811","519.82666015625","0.931951880455017"
"28","251.906753540039","513.779235839844","0.496024370193481","221.991622924805","511.9228515625","0.732061386108398","167.952011108398","504.289520263672","0.694381237030029","22.093505859375","260.165893554688","0.899010002613068","22.1707324981689","519.831970214844","0.932576596736908"
"29","251.870346069336","513.77978515625","0.485371917486191","221.977523803711","511.909606933594","0.740924537181854","167.908584594727","504.268646240234","0.700081646442413","22.1150665283203","260.162139892578","0.893649458885193","22.1916999816895","519.816528320312","0.934601008892059"
"30","251.951690673828","513.757202148438","0.49969071149826","222.026229858398","511.904022216797","0.740897059440613","167.887802124023","504.268829345703","0.693659484386444","22.1274566650391","260.165557861328","0.894677400588989","22.1703987121582","519.825256347656","0.929767549037933"
"31","251.913497924805","513.777160644531","0.499029666185379","222.008392333984","511.896453857422","0.739828169345856","167.91015625","504.269470214844","0.700040459632874","22.1104526519775","260.205810546875","0.904471516609192","22.1713886260986","519.815856933594","0.93683934211731"
"32","251.954711914062","513.775939941406","0.5078045129776","222.011688232422","511.907287597656","0.741218507289886","167.910690307617","504.246856689453","0.686121702194214","22.1095008850098","260.187103271484","0.902981579303741","22.203031539917","519.828674316406","0.930198609828949"
"33","251.927001953125","513.771667480469","0.510554909706116","222.011413574219","511.905578613281","0.742225050926208","167.919128417969","504.290618896484","0.697103202342987","22.1179847717285","260.171142578125","0.899217188358307","22.1727733612061","519.837768554688","0.93198835849762"
"34","251.928848266602","513.767150878906","0.505636096000671","221.990676879883","511.898681640625","0.75035959482193","167.94189453125","504.289031982422","0.699260354042053","22.1043434143066","260.177581787109","0.904813230037689","22.1763801574707","519.824829101562","0.931089699268341"
"35","251.964752197266","513.757141113281","0.513272404670715","222.03547668457","511.897216796875","0.746474087238312","167.946060180664","504.295593261719","0.699008762836456","22.1288280487061","260.168426513672","0.904060244560242","22.1955642700195","519.829650878906","0.930937469005585"
"36","251.973648071289","513.755493164062","0.526079118251801","222.046478271484","511.903228759766","0.745025753974915","168.029312133789","505.832550048828","0.691836595535278","22.1196212768555","260.180572509766","0.901336908340454","22.1733570098877","519.821105957031","0.940520823001862"
"37","251.919952392578","513.777221679688","0.508627712726593","222.05354309082","511.886352539062","0.749453246593475","167.909866333008","504.267578125","0.707513272762299","22.1246299743652","260.169036865234","0.904692828655243","22.1765174865723","519.832153320312","0.939057409763336"
"38","251.940246582031","513.779663085938","0.533403158187866","222.031478881836","511.892822265625","0.754033803939819","168.007675170898","505.827880859375","0.709733545780182","22.1106262207031","260.176361083984","0.901701211929321","22.1891078948975","519.830444335938","0.933300614356995"
"39","251.969635009766","513.773376464844","0.529299139976501","222.028228759766","511.909332275391","0.756030321121216","168.011123657227","505.807830810547","0.696018874645233","22.1247367858887","260.146331787109","0.891632080078125","22.1813507080078","519.838684082031","0.928976774215698"
"40","251.915725708008","513.776794433594","0.524946928024292","222.064346313477","511.894256591797","0.751519978046417","167.933151245117","504.25927734375","0.718364238739014","22.1072540283203","260.169494628906","0.89717698097229","22.1775321960449","519.826171875","0.9232177734375"
"41","251.954467773438","513.778015136719","0.507072269916534","222.041198730469","511.8779296875","0.736833453178406","168.000640869141","505.808746337891","0.69969642162323","22.1046752929688","260.168518066406","0.897746860980988","22.1822834014893","519.808959960938","0.929722249507904"
